gene,siRNA,efficacy,rna_seq,dnase,splice_usage
P2RX3,A2374,0.393,0.02632579393684864,0.05109760910272598,1.561955969009432e-06
P2RX3,A2375,0.251,0.026319677010178566,0.04346224665641785,1.3434033689918579e-06
P2RX3,A2376,0.649,0.025668594986200333,0.05083443596959114,1.2636977544389083e-06
P2RX3,A2377,0.818,0.03139600157737732,0.0484335832297802,4.528892986854771e-06
P2RX3,A2378,0.627,0.031664859503507614,0.050863973796367645,3.533907602104591e-06
P2RX3,A2379,0.771,0.0337495431303978,0.03451952710747719,1.5809276874279021e-06
P2RX3,A2381,0.995,0.031815171241760254,0.04202062264084816,1.088760768652719e-06
P2RX3,A2382,0.829,0.031493350863456726,0.047714244574308395,1.1485218465168145e-06
P2RX3,A2383,0.68,0.03095252439379692,0.043531470000743866,1.905291242110252e-06
P2RX3,A2384,0.903,0.030559105798602104,0.05127079784870148,1.5377587487819255e-06
P2RX3,A2385,0.802,0.023616142570972443,0.06526534259319305,1.6608054238531622e-06
P2RX3,A2386,0.614,0.023728087544441223,0.06011766940355301,1.6028478739826824e-06
P2RX3,A2387,0.385,0.02586769498884678,0.05076059699058533,2.092064505632152e-06
P2RX3,A2388,0.371,0.02603919990360737,0.04810701683163643,1.9942690414609388e-06
P2RX3,A2389,0.683,0.028789633885025978,0.06341993808746338,1.0034883644038928e-06
P2RX3,A2390,0.642,0.028759386390447617,0.044823214411735535,1.3663812978848e-06
P2RX3,A2391,0.86,0.02867712266743183,0.04495475813746452,1.3636960147778154e-06
P2RX3,A2392,0.98,0.028613904491066933,0.04372616484761238,1.348730279460142e-06
P2RX3,A2393,0.563,0.028851764276623726,0.07421737164258957,1.1071210792579222e-06
P2RX3,A2394,0.771,0.02777210623025894,0.049513157457113266,1.455889105272945e-06
P2RX3,A2395,0.554,0.026988044381141663,0.05403749644756317,1.5188267070698203e-06
P2RX3,A2396,0.597,0.026766978204250336,0.05704675242304802,1.5186984683168703e-06
P2RX3,A2397,0.373,0.02622334472835064,0.08117453753948212,1.0149497029487975e-06
P2RX3,A2398,0.678,0.025684909895062447,0.10175984352827072,1.1174945484526688e-06
P2RX3,A2399,0.334,0.025825630873441696,0.08572672307491302,1.1055644790758379e-06
P2RX3,A2400,0.372,0.025297068059444427,0.13585451245307922,1.3046544154349249e-05
P2RX3,A2401,0.759,0.025161758065223694,0.13379065692424774,1.2961565516889095e-05
P2RX3,A2402,0.352,0.026305899024009705,0.16338472068309784,1.3080051758151967e-05
P2RX3,A2403,0.399,0.029266448691487312,0.32882580161094666,1.4108869663687074e-06
P2RX3,A2404,0.781,0.028260013088583946,0.35082563757896423,1.4905322132108267e-06
P2RX3,A2405,0.905,0.028021758422255516,0.3456088602542877,1.519426746199315e-06
P2RX3,A2406,0.334,0.027712756767868996,0.3259100317955017,1.489872602178366e-06
P2RX3,A2407,0.663,0.027723638340830803,0.2671177387237549,1.2751498843499576e-06
P2RX3,A2408,0.796,0.029283281415700912,0.04067164659500122,8.811398402031045e-07
P2RX3,A2409,0.888,0.02777242287993431,0.04097483307123184,7.472727361346188e-07
P2RX3,A2411,0.502,0.026446564123034477,0.10131998360157013,8.619234677098575e-07
P2RX3,A2412,0.419,0.026307199150323868,0.11124058067798615,1.5319743624786497e-06
P2RX3,A2413,0.592,0.026444211602211,0.09097936749458313,1.4813746247455128e-06
P2RX3,A2414,0.42,0.026106413453817368,0.09419642388820648,1.6025954892029404e-06
P2RX3,A2415,0.723,0.02579706348478794,0.07101903855800629,1.1175501413163147e-06
P2RX3,A2416,0.164,0.025102907791733742,0.08224698156118393,1.944495352290687e-06
P2RX3,A2417,0.855,0.028394022956490517,0.045098014175891876,5.973201950837392e-07
P2RX3,A2418,0.541,0.027839628979563713,0.04081343859434128,6.212004564076778e-07
P2RX3,A2419,0.746,0.027760710567235947,0.039296288043260574,6.093371780480084e-07
P2RX3,A2420,0.728,0.027168383821845055,0.031170669943094254,6.498457878478803e-07
P2RX3,A2423,0.5,0.031053539365530014,0.06379874050617218,8.386419381167798e-07
P2RX3,A2424,0.892,0.030464567244052887,0.06411446630954742,1.0545788882154739e-06
P2RX3,A2425,0.873,0.03072819486260414,0.05644579231739044,9.086824093174073e-07
P2RX3,A2426,0.162,0.029774848371744156,0.062302153557538986,8.528530770490761e-07
P2RX3,A2428,0.723,0.02626795507967472,0.061852771788835526,1.4273294937083847e-06
P2RX3,A2429,0.918,0.026389356702566147,0.06717406213283539,1.6665422890582704e-06
P2RX3,A2430,0.62,0.026424668729305267,0.06488098204135895,1.73705518591305e-06
P2RX3,A2431,0.607,0.026263544335961342,0.04223360866308212,1.2163826568212244e-06
UBE2B,A203,0.765,2.4934744834899902,0.0182183887809515,4.216441084281541e-06
UBE2B,A204,0.616,2.5339200496673584,0.01608584076166153,3.918831680493895e-06
UBE2B,A205,0.492,2.5994739532470703,0.017380086705088615,3.459650542936288e-06
UBE2B,A206,0.778,2.6251981258392334,0.02081010863184929,3.429360049267416e-06
UBE2B,A207,0.827,2.6367926597595215,0.020776713266968727,3.3405608519387897e-06
UBE2B,A208,0.463,2.679539918899536,0.020590361207723618,3.865980488626519e-06
UBE2B,A209,0.787,2.69476056098938,0.024700533598661423,3.827074124274077e-06
UBE2B,A210,0.836,2.7103092670440674,0.02540215477347374,3.834642939182231e-06
UBE2B,A211,0.735,2.7190263271331787,0.02971411682665348,3.934023425244959e-06
UBE2B,A212,0.842,2.727590560913086,0.030453486368060112,3.83023052563658e-06
UBE2B,A213,0.84,2.8274893760681152,0.03388373926281929,3.4096713079634355e-06
UBE2B,A214,0.804,2.8948633670806885,0.03299364075064659,2.8277311230340274e-06
UBE2B,A215,0.838,2.929832935333252,0.03279241546988487,2.694395107027958e-06
UBE2B,A216,0.775,2.946911334991455,0.03256716579198837,2.5612748686398845e-06
UBE2B,A217,0.751,2.981675386428833,0.02657466195523739,2.3326465452555567e-06
UBE2B,A218,0.714,3.001554012298584,0.02450929582118988,2.2046867798053427e-06
UBE2B,A219,0.712,3.0128252506256104,0.024858709424734116,2.1501157334569143e-06
UBE2B,A220,0.51,3.0171470642089844,0.02465899847447872,2.2216056549950736e-06
UBE2B,A221,0.759,3.049248218536377,0.024528704583644867,2.293559418831137e-06
UBE2B,A222,0.687,3.0828192234039307,0.023311039432883263,2.524638375689392e-06
UBE2B,A223,0.499,3.137822151184082,0.025814268738031387,2.256738071082509e-06
UBE2B,A224,0.727,3.137725830078125,0.02555740252137184,2.171415871998761e-06
UBE2B,A225,0.743,3.0542097091674805,0.030872400850057602,2.0409308945090743e-06
UBE2B,A226,0.815,3.0087730884552,0.031136449426412582,2.682262902453658e-06
UBE2B,A230,0.505,2.529773712158203,0.016588807106018066,0.022473448887467384
UBE2B,A231,0.847,2.4519479274749756,0.016683490946888924,2.1032897166151088e-06
UBE2B,A232,0.839,2.4107654094696045,0.015286581590771675,2.4411801859969273e-06
UBE2B,A233,0.836,2.378779172897339,0.015890788286924362,2.9438199362630257e-06
UBE2B,A234,0.744,2.397209644317627,0.013384583406150341,3.4645386222109664e-06
UBE2B,A235,0.841,2.4012746810913086,0.011869092471897602,3.5892828691430623e-06
UBE2B,A236,0.648,2.4032669067382812,0.012401996180415154,3.576650442482787e-06
UBE2B,A237,0.863,2.405606508255005,0.01257749367505312,3.489932396405493e-06
UBE2B,A238,0.722,2.406109571456909,0.012946568429470062,3.705364179040771e-06
UBE2B,A239,0.5,2.403420925140381,0.013647031038999557,4.539192559604999e-06
UBE2B,A240,0.772,2.399324417114258,0.01376805268228054,1.0374583325756248e-05
UBE2B,A241,0.479,2.386350393295288,0.014256469905376434,1.1912637091882061e-05
UBE2B,A242,0.467,2.3514244556427,0.017410868778824806,1.2128737580496818e-05
UBE2B,A243,0.635,2.3435685634613037,0.016919640824198723,1.2452804185159039e-05
UBE2B,A244,0.694,2.2952802181243896,0.01640223152935505,1.176618843601318e-05
UBE2B,A245,0.757,2.1353657245635986,0.015033381059765816,0.022509850561618805
UBE2B,A250,0.846,2.056854009628296,0.012253021821379662,2.284936499563628e-06
UBE2B,A251,0.482,2.0599334239959717,0.012084457091987133,2.1788428057334386e-06
UBE2B,A252,0.697,1.959010362625122,0.008300759829580784,3.171613798258477e-06
UBE2B,A253,0.618,1.9971774816513062,0.008930763229727745,2.726588263612939e-06
UBE2B,A254,0.777,2.0226247310638428,0.010685877874493599,2.736068381636869e-06
UBE2B,A255,0.801,2.0141191482543945,0.010640809312462807,2.6588281798467506e-06
UBE2B,A256,0.825,1.9973667860031128,0.00961565412580967,2.43979388869775e-06
UBE2B,A257,0.853,1.9911539554595947,0.0097078001126647,2.4129960820573615e-06
UBE2B,A258,0.637,1.985310673713684,0.009316660463809967,2.4124108222167706e-06
UBE2B,A259,0.723,1.884583592414856,0.011485757306218147,2.8924735033797333e-06
UBE2B,A260,0.475,1.8441567420959473,0.010958936996757984,3.4653189686650876e-06
UBE2B,A261,0.467,1.8204970359802246,0.01147122960537672,4.116133368370356e-06
UBE2B,A263,0.781,1.9306172132492065,0.014603912830352783,5.095064625493251e-05
UBE2B,A264,0.798,1.930925965309143,0.01564270444214344,4.830376201425679e-05
UBE2B,A268,0.846,1.7674192190170288,0.07156938314437866,3.87888258046587e-06
UBE2B,A269,0.835,1.7694095373153687,0.08229037374258041,2.925099579442758e-06
UBE2B,A270,0.55,1.7806445360183716,0.09380503743886948,2.913101752710645e-06
UBE2B,A271,0.564,1.7861764430999756,0.10130137205123901,3.0304402116598794e-06
UBE2B,A272,0.483,1.7806416749954224,0.08148541301488876,3.3829132917162497e-06
UBE2B,A273,0.508,1.7794841527938843,0.07240509986877441,3.3095177514042007e-06
UBE2B,A274,0.742,1.781821608543396,0.0663529485464096,3.162020902891527e-06
UBE2B,A275,0.728,1.7820487022399902,0.06722133606672287,3.190342567904736e-06
UBE2B,A276,0.618,1.768548846244812,0.0517483651638031,2.8027568532706937e-06
UBE2B,A277,0.767,1.728551983833313,0.06637958437204361,3.2835346246429253e-06
UBE2B,A278,0.611,1.6898071765899658,0.11049725115299225,1.661877286096569e-05
UBE2S,A816,0.824,2.069432020187378,0.03325808793306351,6.156381004984723e-06
UBE2S,A817,0.713,2.049957275390625,0.03727874532341957,6.668770765827503e-06
UBE2S,A818,0.572,1.9866756200790405,0.03807445988059044,6.733947884640656e-06
UBE2S,A819,0.457,1.9041653871536255,0.03190930560231209,1.2246486221556552e-05
UBE2S,A820,0.428,1.9033666849136353,0.03236253187060356,1.2676059668592643e-05
UBE2S,A821,0.45,1.9035227298736572,0.030031105503439903,1.3266436326375697e-05
UBE2S,A822,0.44,1.8835675716400146,0.026781413704156876,8.714587238500826e-06
UBE2S,A823,0.494,1.9051233530044556,0.030712462961673737,7.1074355219025165e-06
UBE2S,A824,0.585,1.9312093257904053,0.03972311317920685,8.044104106375016e-06
UBE2S,A825,0.579,1.946824073791504,0.03712340444326401,8.733830327400938e-06
UBE2S,A826,0.43,1.9462884664535522,0.033860184252262115,8.417174285568763e-06
UBE2S,A827,0.415,1.9976266622543335,0.03148733824491501,7.988683137227781e-06
UBE2S,A828,0.43,2.026460647583008,0.03152571618556976,7.61450246500317e-06
UBE2S,A829,0.364,2.0851519107818604,0.034776993095874786,7.370700132014463e-06
UBE2S,A830,0.491,2.0944626331329346,0.034016117453575134,7.5669095167540945e-06
UBE2S,A831,0.42,2.156658887863159,0.037238460034132004,7.0181131377466954e-06
UBE2S,A832,0.548,2.3047335147857666,0.06360959261655807,1.0563166142674163e-05
UBE2S,A833,0.701,2.318678855895996,0.0629214495420456,9.785663678485435e-06
UBE2S,A840,0.563,2.4190990924835205,0.08846461772918701,5.361713920137845e-05
UBE2S,A841,0.778,2.4489190578460693,0.08286677300930023,7.997518878255505e-06
UBE2S,A842,0.707,2.4576408863067627,0.07088883966207504,6.087539532018127e-06
UBE2S,A843,0.76,2.460970640182495,0.07167553901672363,5.331870397640159e-06
UBE2S,A844,0.694,2.490093231201172,0.06584183126688004,4.567921678244602e-06
UBE2S,A845,0.443,2.592505931854248,0.04291466251015663,4.697259555541677e-06
UBE2S,A846,0.485,2.6660759449005127,0.05433895066380501,5.061683623353019e-06
UBE2S,A847,0.715,2.738340139389038,0.05765534192323685,4.6256800487753935e-06
UBE2S,A848,0.706,2.7496562004089355,0.05792491137981415,4.372836883703712e-06
UBE2S,A849,0.395,2.8236844539642334,0.0637451559305191,3.4928798413602635e-06
UBE2S,A850,0.394,2.929579496383667,0.061859600245952606,2.6130217065656325e-06
UBE2S,A851,0.557,3.1088109016418457,0.09059596061706543,2.5093054318858776e-06
UBE2S,A852,0.635,3.1261956691741943,0.08606906980276108,2.777351255645044e-06
UBE2S,A855,0.523,3.81190824508667,0.05361708626151085,2.7630153454083484e-06
UBE2S,A856,0.631,3.7147696018218994,0.0955166444182396,5.70794873056002e-06
UBE2S,A857,0.745,3.7099361419677734,0.09617151319980621,5.728270025429083e-06
UBE2S,A858,0.678,3.7073898315429688,0.09356609731912613,5.580621291301213e-06
UBE2S,A859,0.856,3.681638717651367,0.05802305415272713,4.860608896706253e-06
UBE2S,A860,0.544,3.6221377849578857,0.043010395020246506,4.22277571487939e-06
UBE2S,A861,0.449,3.606717109680176,0.042815595865249634,4.089521098649129e-06
UBE2S,A862,0.316,3.6629979610443115,0.05573349446058273,5.456896360556129e-06
UBE2S,A863,0.604,3.685811758041382,0.06687615811824799,5.310729193297448e-06
UBE2S,A864,0.917,3.806087017059326,0.0878777801990509,2.416784809611272e-05
UBE2S,A865,0.815,3.830090045928955,0.0783901959657669,2.3248670913744718e-05
UBE2S,A866,0.547,3.8340861797332764,0.07000182569026947,2.3272083126357757e-05
UBE2S,A867,0.489,3.8492918014526367,0.06150210648775101,2.314960875082761e-05
UBE2S,A868,0.463,3.883329391479492,0.052179206162691116,2.2928959879209287e-05
UBE2S,A869,0.552,3.9541196823120117,0.05516133829951286,3.1317943012254545e-06
UBE2S,A870,0.404,3.9383163452148438,0.05676731467247009,2.9373391043918673e-06
UBE2S,A871,0.539,3.9278767108917236,0.06093207001686096,2.981840907523292e-06
UBE2S,A872,0.54,3.9059550762176514,0.05041491240262985,2.2547160369867925e-06
UBE2S,A873,0.423,3.8470852375030518,0.047111641615629196,2.2075271317589795e-06
UBE2S,A874,0.585,3.7748122215270996,0.05575750023126602,2.299489551660372e-06
UBE2S,A875,0.499,3.5861337184906006,0.05329727381467819,2.441758624627255e-06
UBE2S,A881,0.451,3.036775588989258,0.07367094606161118,0.022650927305221558
UBE2S,A882,0.54,2.9933021068573,0.11523745954036713,4.165943209955003e-06
UBE2S,A883,0.357,2.9841463565826416,0.1151832714676857,4.4256025830691215e-06
UBE2S,A884,0.416,2.9785077571868896,0.11991371214389801,4.639723101718118e-06
UBE2S,A885,0.339,2.9674618244171143,0.1133914366364479,5.23176049682661e-06
UBE2S,A886,0.53,2.943784475326538,0.11752444505691528,8.052013072301634e-06
UBE2S,A887,0.573,2.918131113052368,0.1199558675289154,7.865215593483299e-06
UBE2S,A888,0.565,2.909672975540161,0.11795351654291153,7.781754902680404e-06
UBE2S,A889,0.664,2.893921375274658,0.1150619387626648,7.82405913923867e-06
UBE2S,A890,0.472,2.8921239376068115,0.109599769115448,8.102300853352062e-06
UBE2S,A891,0.617,2.9026081562042236,0.10651539266109467,6.085524546506349e-06
UBE2S,A892,0.515,2.926530122756958,0.08215552568435669,5.317513114277972e-06
UBE2S,A893,0.436,2.9762394428253174,0.07990331947803497,5.339668859960511e-06
UBE2S,A894,0.887,2.9995555877685547,0.10481847077608109,6.448690783145139e-06
UBE2N,A1397,0.738,2.734100818634033,0.02057565748691559,0.022439707070589066
UBE2N,A1403,0.917,3.4311747550964355,0.028981367126107216,1.991223507502582e-05
UBE2N,A1404,0.611,3.4475362300872803,0.023567771539092064,6.837234195700148e-06
UBE2N,A1405,0.903,3.4642977714538574,0.02339325100183487,3.4200936624984024e-06
UBE2N,A1406,0.841,3.482600212097168,0.023722290992736816,2.990651864820393e-06
UBE2N,A1407,0.775,3.4993903636932373,0.025197815150022507,2.410655497442349e-06
UBE2N,A1408,0.94,3.534087657928467,0.023998992517590523,1.946097881955211e-06
UBE2N,A1409,0.854,3.6233913898468018,0.024268517270684242,1.972264044525218e-06
UBE2N,A1410,0.78,3.636842966079712,0.023885099217295647,1.932921122715925e-06
UBE2N,A1411,0.439,3.6426737308502197,0.025061164051294327,2.0623001546482556e-06
UBE2N,A1412,0.402,3.640204668045044,0.023362603038549423,2.046284862444736e-06
UBE2N,A1413,0.432,3.6353273391723633,0.023694558069109917,2.304174131495529e-06
UBE2N,A1414,0.642,3.639172077178955,0.02594263292849064,2.322759883099934e-06
UBE2N,A1415,0.498,3.645596504211426,0.03092384897172451,2.4839368961693253e-06
UBE2N,A1416,0.342,3.6495139598846436,0.033367056399583817,2.974931476273923e-06
UBE2N,A1417,0.302,3.6463847160339355,0.032833512872457504,3.0174210223776754e-06
UBE2N,A1418,0.779,3.6436092853546143,0.03275509551167488,3.031499318240094e-06
UBE2N,A1419,0.613,3.6316986083984375,0.03453405201435089,5.726737526856596e-06
UBE2N,A1420,0.702,3.6299173831939697,0.033163219690322876,5.836432137584779e-06
UBE2N,A1421,0.859,3.619812488555908,0.03803863748908043,6.378582384058973e-06
UBE2N,A1422,0.784,3.602260112762451,0.039496295154094696,5.900851647311356e-06
UBE2N,A1423,0.587,3.6014604568481445,0.042517971247434616,6.3045536080608144e-06
UBE2N,A1424,0.635,3.7317166328430176,0.032795436680316925,4.373731371742906e-06
UBE2N,A1425,0.542,3.727208375930786,0.034434106200933456,4.3478271436470095e-06
UBE2N,A1426,0.863,3.711398124694824,0.03322077542543411,4.592595360009e-06
UBE2N,A1427,0.622,3.606743574142456,0.04091063514351845,6.480181127699325e-06
UBE2N,A1428,0.594,3.597666025161743,0.050122834742069244,5.752403467340628e-06
UBE2N,A1429,0.482,3.5658702850341797,0.04796470329165459,0.022874334827065468
UBE2N,A1437,0.94,2.809189558029175,0.020782575011253357,2.8839333481300855e-06
UBE2N,A1438,0.938,2.8160452842712402,0.02249448001384735,2.844994469342055e-06
UBE2N,A1439,0.694,2.8130297660827637,0.022379063069820404,2.9164718853280647e-06
UBE2N,A1440,0.464,2.81462025642395,0.022812502458691597,3.1060262699611485e-06
UBE2N,A1441,0.492,2.8409814834594727,0.016923587769269943,2.7392250103730476e-06
UBE2N,A1442,0.816,2.880059242248535,0.015269198454916477,2.7388798571337247e-06
UBE2N,A1443,1.0,2.9843204021453857,0.017481805756688118,3.6751457628270146e-06
UBE2N,A1444,0.921,2.992166519165039,0.018109699711203575,6.566926458617672e-06
UBE2N,A1445,0.795,3.0883350372314453,0.020860660821199417,0.0002430759195704013
UBE2N,A1446,0.64,3.4063146114349365,0.02066013589501381,4.193597760604462e-06
UBE2N,A1447,0.447,3.4686009883880615,0.022380976006388664,9.968718586605974e-06
UBE2N,A1448,0.369,3.514202356338501,0.03316141664981842,9.672839951235801e-06
UBE2N,A1449,0.83,3.5126430988311768,0.03594287484884262,9.632220098865218e-06
UBE2N,A1450,0.875,3.5153698921203613,0.04775002598762512,8.338443876709789e-06
UBE2N,A1451,0.848,3.5064213275909424,0.04583048075437546,3.053957470910973e-06
UBE2N,A1452,0.961,3.502211093902588,0.0521223321557045,2.6724762847152306e-06
UBE2N,A1453,0.436,3.495098352432251,0.0482277013361454,2.7079406663688133e-06
UBE2N,A1454,0.299,3.4695935249328613,0.0486404113471508,2.9149221063562436e-06
UBE2N,A1455,0.872,3.4061038494110107,0.0558997206389904,3.4078316275554243e-06
UBE2N,A1456,0.706,3.2907207012176514,0.05171290040016174,4.7596422518836334e-06
UBE2N,A1457,0.502,3.2604730129241943,0.05785489082336426,3.4944962408189895e-06
UBE2N,A1458,0.541,3.196298837661743,0.08545058965682983,4.124811766814673e-06
UBE2N,A1459,0.471,3.1775333881378174,0.08608652651309967,4.481746145756915e-06
UBE2N,A1460,0.506,3.1600875854492188,0.08585779368877411,4.812497991224518e-06
UBE2N,A1461,0.395,3.150111198425293,0.08175221085548401,4.942417490383377e-06
UBE2N,A1462,0.398,3.138540744781494,0.08111647516489029,5.067754045740003e-06
UBE2N,A1463,0.471,3.1134836673736572,0.07922176271677017,5.337198672350496e-06
UBE2N,A1464,0.624,3.080087661743164,0.08272222429513931,5.82654183745035e-06
UBE2N,A1465,0.871,3.0907299518585205,0.07777068763971329,5.843266990268603e-06
UBE2N,A1466,0.658,3.1750600337982178,0.11391395330429077,8.824524229567032e-06
UBE2N,A1467,0.826,3.2301297187805176,0.11555008590221405,7.966055818542372e-06
UBE2N,A1468,0.883,3.2398860454559326,0.11705810576677322,7.841535079933237e-06
UBE2N,A1469,0.847,3.2375590801239014,0.09511671960353851,7.066699708957458e-06
UBE2N,A1470,0.816,3.235337495803833,0.09793616831302643,3.830277364613721e-06
UBE2N,A1471,0.782,3.2352335453033447,0.09742960333824158,3.3774394978536293e-06
UBE2N,A1472,0.614,3.221752643585205,0.09072882682085037,3.309382009319961e-06
UBE2N,A1473,0.974,3.2041919231414795,0.0854177176952362,3.6411740893527167e-06
UBE2N,A1474,0.36,3.1872315406799316,0.09544574469327927,3.676966116472613e-06
UBE2N,A1475,0.607,3.176724672317505,0.08970872312784195,3.6938076846126933e-06
UBE2K,A1241,0.646,1.8785580396652222,0.0208699032664299,1.9757668269448914e-05
UBE2K,A1242,0.766,1.890637755393982,0.020643718540668488,1.9113080270471983e-05
UBE2K,A1243,0.927,1.9030348062515259,0.01745973527431488,1.7799084162106737e-05
UBE2K,A1244,0.738,1.914414405822754,0.016582252457737923,3.7735608202638105e-06
UBE2K,A1245,0.661,1.7306444644927979,0.019114870578050613,0.022395312786102295
UBE2K,A1252,0.655,1.7284120321273804,0.03760363161563873,3.6849551179329865e-06
UBE2K,A1253,0.921,1.7306649684906006,0.0400644987821579,2.9453567549353465e-06
UBE2K,A1254,0.93,1.7291558980941772,0.04187911003828049,2.8392842068569735e-06
UBE2K,A1255,0.899,1.7278140783309937,0.03658806532621384,2.777171175694093e-06
UBE2K,A1256,0.676,1.7169743776321411,0.03149239718914032,2.7335154300089926e-06
UBE2K,A1257,0.68,1.7132169008255005,0.029277632012963295,2.6626355520420475e-06
UBE2K,A1258,0.667,1.711388349533081,0.025365911424160004,2.660481868588249e-06
UBE2K,A1259,0.749,1.7122671604156494,0.026724252849817276,2.2466631435236195e-06
UBE2K,A1260,0.825,1.711225986480713,0.02639007195830345,2.626218702062033e-06
UBE2K,A1261,0.818,1.705567479133606,0.030771829187870026,3.468565410003066e-06
UBE2K,A1262,0.85,1.7032816410064697,0.0313919372856617,3.7698325741075678e-06
UBE2K,A1263,0.62,1.694960117340088,0.03198574110865593,4.306731170800049e-06
UBE2K,A1264,0.854,1.649833083152771,0.04429173097014427,5.13450277139782e-06
UBE2K,A1265,0.892,1.64461350440979,0.043719496577978134,5.219605554884765e-06
UBE2K,A1266,0.633,1.6248821020126343,0.029475931078195572,5.69022495255922e-06
UBE2K,A1267,0.857,1.6433194875717163,0.020573584362864494,4.369744601717684e-06
UBE2K,A1268,0.871,1.6490124464035034,0.025254681706428528,3.0621708901890088e-06
UBE2K,A1269,0.474,1.5590643882751465,0.02718423306941986,0.022840920835733414
UBE2K,A1275,0.871,1.5278927087783813,0.016106311231851578,5.097097528050654e-06
UBE2K,A1276,0.587,1.5244994163513184,0.01616523042321205,5.1734236876654904e-06
UBE2K,A1277,0.789,1.5143076181411743,0.01613483391702175,5.354186214390211e-06
UBE2K,A1278,0.812,1.488237977027893,0.01428296323865652,8.08074855740415e-06
UBE2K,A1279,0.71,1.4876153469085693,0.014594812877476215,8.13559290691046e-06
UBE2K,A1280,0.555,1.5063782930374146,0.010202125646173954,7.408212240989087e-06
UBE2K,A1281,0.749,1.530938982963562,0.010614598169922829,5.015082479076227e-06
UBE2K,A1282,0.532,1.5307538509368896,0.011805985122919083,4.93221568831359e-06
UBE2K,A1283,0.616,1.5224926471710205,0.011257623322308064,4.896449354419019e-06
UBE2K,A1284,0.673,1.515506625175476,0.011234574019908905,4.432244168128818e-06
UBE2K,A1285,0.76,1.5091238021850586,0.01309145800769329,4.421988705871627e-06
UBE2K,A1286,0.812,1.4988019466400146,0.011131797917187214,7.423202077916358e-06
UBE2K,A1287,0.897,1.4845870733261108,0.011226216331124306,0.02261742204427719
UBE2K,A1288,0.73,1.4151040315628052,0.012745472602546215,0.02261720411479473
UBE2K,A1289,0.723,1.5346850156784058,0.00981198437511921,5.06423884871765e-06
UBE2K,A1290,0.724,1.5442183017730713,0.009864996187388897,4.961935246683424e-06
UBE2K,A1291,0.763,1.5578669309616089,0.008729066699743271,5.008420885133091e-06
UBE2K,A1292,0.785,1.561819314956665,0.010719741694629192,4.733568403025856e-06
UBE2K,A1293,0.793,1.3975962400436401,0.012380309402942657,0.02283424325287342
UBE2K,A1300,0.728,1.30930757522583,0.014250322245061398,0.021995358169078827
UBE2K,A1301,0.739,1.385271668434143,0.013843699358403683,8.510645420756191e-05
UBE2K,A1302,0.669,1.3940277099609375,0.01342105120420456,8.264965799753554e-06
UBE2K,A1303,0.746,1.4040201902389526,0.013414354994893074,6.842464244982693e-06
UBE2K,A1304,0.698,1.4067697525024414,0.011094577610492706,5.428898020909401e-06
UBE2K,A1305,0.561,1.4080368280410767,0.011208808049559593,5.151332061359426e-06
UBE2K,A1306,0.654,1.4073275327682495,0.011483743786811829,4.951546543452423e-06
UBE2K,A1307,0.694,1.3983749151229858,0.012990602292120457,4.429386535775848e-06
UBE2K,A1308,0.548,1.397800087928772,0.012201718054711819,4.604721652867738e-06
